word,value
火上浇油,-3.888888888888889
先天不足,-0.5555555555555556
乘风转舵,-2.7777777777777777
以火救火,-1.6666666666666667
敢怒不敢言,-2.7777777777777777
致死不悟,-3.888888888888889
我行我素,-2.7777777777777777
五马分尸,-2.7777777777777777
黄口稚子,-2.7777777777777777
天有不测风云,-1.6666666666666667
茫无头绪,-2.7777777777777777
不知天高地厚,-2.7777777777777777
立锥之地,-0.5555555555555556
旁门左道,-3.888888888888889
大难临头,-2.7777777777777777
骨瘦如柴,-2.7777777777777777
药店飞龙,-2.7777777777777777
不治之症,-2.7777777777777777
不经之谈,-1.6666666666666667
混为一谈,-1.6666666666666667
游谈无根,-2.7777777777777777
巧言花语,-2.7777777777777777
口头禅,-1.6666666666666667
多嘴多舌,-2.7777777777777777
唠唠叨叨,-1.6666666666666667
絮絮叨叨,-1.6666666666666667
即即世世,-1.6666666666666667
隐晦曲折,-1.6666666666666667
耳食之谈,-1.6666666666666667
强龙不压地头蛇,-0.5555555555555556
倚官仗势,-2.7777777777777777
不耕而食，不蚕而衣,-1.6666666666666667
欺罔视听,-3.888888888888889
甜嘴蜜舌,-2.7777777777777777
前门进虎，后门进狼,-1.6666666666666667
在劫难逃,-2.7777777777777777
草衣木食,-0.5555555555555556
等米下锅,-0.5555555555555556
家道壁立,-1.6666666666666667
纳履踵决,-1.6666666666666667
飞短流长,-2.7777777777777777
薏苡明珠,-2.7777777777777777
豺狐之心,-3.888888888888889
瓜蔓抄,-3.888888888888889
玉粒桂薪,-1.6666666666666667
债台高筑,-3.888888888888889
无拳无勇,-2.7777777777777777
迟疑不决,-1.6666666666666667
仓卒应战,-5.0
犹豫不定,-1.6666666666666667
低首下心,-1.6666666666666667
盖不由己,-1.6666666666666667
锱铢必较,-3.888888888888889
张公吃酒李公醉,-1.6666666666666667
鼠窜狼奔,-2.7777777777777777
嘴甜心苦,-2.7777777777777777
强盗挂念珠,-3.888888888888889
见事风生,-2.7777777777777777
报仇雪恨,-3.888888888888889
招权纳赂,-2.7777777777777777
歧路亡羊,-2.7777777777777777
冬扇夏炉,-2.7777777777777777
喧宾夺主,-2.7777777777777777
日月交食,-2.7777777777777777
漏脯充饥,-3.888888888888889
束手待毙,-2.7777777777777777
抛头露面,-2.7777777777777777
原形毕露,-3.888888888888889
人民城郭,-2.7777777777777777
自相残杀,-3.888888888888889
强人所难,-2.7777777777777777
有隙可乘,-1.6666666666666667
欺善怕恶,-3.888888888888889
肆意横行,-3.888888888888889
横行天下,-3.888888888888889
知情不举,-3.888888888888889
博士买驴,-1.6666666666666667
屦贱踊贵,-1.6666666666666667
结党营私,-5.0
招降纳叛,-2.7777777777777777
任其自便,-1.6666666666666667
惹祸招殃,-2.7777777777777777
招风惹草,-2.7777777777777777
鼓噪而起,-2.7777777777777777
出乖露丑,-2.7777777777777777
草草收兵,-2.7777777777777777
图谋不轨,-2.7777777777777777
贪欢逐乐,-3.888888888888889
评头品足,-2.7777777777777777
胆大包天,-3.888888888888889
涸泽而渔,-3.888888888888889
搔头弄姿,-2.7777777777777777
反客为主,-0.5555555555555556
蜀犬吠日,-1.6666666666666667
折足覆餗,-2.7777777777777777
土牛木马,-2.7777777777777777
玉卮无当,-2.7777777777777777
鸠形鹄面,-1.6666666666666667
袒裼裸裎,-2.7777777777777777
苟合取容,-2.7777777777777777
如到宝山空手回,-2.7777777777777777
大厦将倾，一木难支,-3.888888888888889
兵败如山倒,-2.7777777777777777
弃甲倒戈,-3.888888888888889
望风破胆,-2.7777777777777777
彩凤随鸦,-1.6666666666666667
一事无成,-2.7777777777777777
不肖子孙,-2.7777777777777777
虚度年华,-2.7777777777777777
怙恶不悛,-5.0
一丘之貉,-2.7777777777777777
偷东摸西,-3.888888888888889
放虎自卫,-3.888888888888889
谬种流传,-2.7777777777777777
粗服乱头,-0.5555555555555556
阿其所好,-2.7777777777777777
冥室椟棺,-3.888888888888889
不辨龙蛇,-2.7777777777777777
鹦鹉学舌,-1.6666666666666667
投机倒把,-3.888888888888889
以耳为目,-1.6666666666666667
咎由自取,-3.888888888888889
引狗入寨,-5.0
自讨没趣,-2.7777777777777777
姗姗来迟,-0.5555555555555556
蠹众木折,-2.7777777777777777
徙宅忘妻,-3.888888888888889
恃勇轻敌,-1.6666666666666667
淡妆浓抹,-1.6666666666666667
拐弯抹角,-1.6666666666666667
虚情假意,-5.0
敬而远之,-2.7777777777777777
得薄能鲜,-2.7777777777777777
马齿徒增,-2.7777777777777777
昂首望天,-2.7777777777777777
独弦哀歌,-2.7777777777777777
居功自傲,-2.7777777777777777
自高其功,-2.7777777777777777
贪名爱利,-3.888888888888889
封豕长蛇,-3.888888888888889
蛇吞象,-3.888888888888889
眼馋肚饱,-2.7777777777777777
BS,-3.888888888888889
无语,-2.7777777777777777
八婆,-1.6666666666666667
包子,-2.7777777777777777
呕像,-1.6666666666666667
MPJ,-2.7777777777777777
固执,-2.7777777777777777
浑水摸鱼,-0.5555555555555556
得寸进尺,-2.7777777777777777
尔虞我诈,-3.888888888888889
空洞,-1.6666666666666667
婆婆妈妈,-1.6666666666666667
滥竽充数,-3.888888888888889
猎取,-0.5555555555555556
蛮横,-2.7777777777777777
擅自,-0.5555555555555556
拈轻怕重,-1.6666666666666667
漠然,-1.6666666666666667
怨尤,-2.7777777777777777
暴烈,-2.7777777777777777
招摇,-3.888888888888889
千篇一律,-2.7777777777777777
骄矜,-3.888888888888889
求全责备,-1.6666666666666667
势利,-3.888888888888889
挑剔,-2.7777777777777777
偷懒,-1.6666666666666667
畏葸不前,-2.7777777777777777
无稽之谈,-3.888888888888889
无中生有,-2.7777777777777777
犯疑心病,-0.5555555555555556
叶公好龙,-3.888888888888889
变节,-2.7777777777777777
灭绝人性,-5.0
奸险,-5.0
猥劣,-3.888888888888889
奸诈,-5.0
诡诈,-3.888888888888889
浇薄,-3.888888888888889
虚骄,-3.888888888888889
不自量力,-2.7777777777777777
老气横秋,-2.7777777777777777
狂气,-2.7777777777777777
刚愎,-2.7777777777777777
小心眼,-3.888888888888889
陋习,-5.0
阳奉阴违,-2.7777777777777777
随风倒,-2.7777777777777777
自私自利,-3.888888888888889
鄙俗,-2.7777777777777777
蛮不讲理,-3.888888888888889
轻率,-2.7777777777777777
愚鲁,-3.888888888888889
摇头摆尾,-1.6666666666666667
蠢笨,-3.888888888888889
愚顽,-2.7777777777777777
儇薄,-2.7777777777777777
水性杨花,-3.888888888888889
贪嘴,-1.6666666666666667
愚直,-2.7777777777777777
怪诞,-1.6666666666666667
浮皮潦草,-2.7777777777777777
毛手毛脚,-2.7777777777777777
食言,-2.7777777777777777
鬼祟,-3.888888888888889
出圈儿,-2.7777777777777777
奴颜媚骨,-3.888888888888889
欺哄,-1.6666666666666667
耍滑,-1.6666666666666667
耍赖,-2.7777777777777777
恣意妄为,-3.888888888888889
闲散,-0.5555555555555556
兔死狗烹,-3.888888888888889
蛮勇,-1.6666666666666667
自恋,-1.6666666666666667
有勇无谋,-2.7777777777777777
不识人间有羞耻事,-3.888888888888889
辱门败户,-3.888888888888889
慢腾腾,-1.6666666666666667
人心似铁,-3.888888888888889
盲用,-0.5555555555555556
慢慢吞吞,-1.6666666666666667
孤行己见,-2.7777777777777777
强横霸道,-3.888888888888889
萧规曹随,-2.7777777777777777
左右袒,-1.6666666666666667
干巴,-1.6666666666666667
化公为私,-3.888888888888889
权欲熏心,-3.888888888888889
猥鄙,-5.0
膏粱子弟,-3.888888888888889
淫秽,-3.888888888888889
艳情,-2.7777777777777777
口角,-1.6666666666666667
冷酷无情,-2.7777777777777777
有理无情,-2.7777777777777777
耍滑头,-0.5555555555555556
身单力薄,-1.6666666666666667
错误百出,-2.7777777777777777
生吞活剥,-2.7777777777777777
臭名昭著,-3.888888888888889
言之无物,-1.6666666666666667
傲物,-2.7777777777777777
摆款儿,-0.5555555555555556
板荡,-3.888888888888889
暴政,-2.7777777777777777
兵痞,-3.888888888888889
财迷,-1.6666666666666667
向着,-2.7777777777777777
心血来潮,-1.6666666666666667
享乐,-1.6666666666666667
草寇,-2.7777777777777777
插足,-1.6666666666666667
谗佞,-3.888888888888889
伥鬼,-3.888888888888889
吵人,-2.7777777777777777
尘嚣,-1.6666666666666667
称霸,-2.7777777777777777
吃心,-1.6666666666666667
齿冷,-2.7777777777777777
忡忡,-2.7777777777777777
丑事,-2.7777777777777777
憷头,-1.6666666666666667
吹擂,-2.7777777777777777
蠢话,-2.7777777777777777
刺儿话,-1.6666666666666667
窜犯,-2.7777777777777777
篡位,-3.888888888888889
错会,-1.6666666666666667
呆子,-1.6666666666666667
刀俎,-2.7777777777777777
盗匪,-2.7777777777777777
盗用,-2.7777777777777777
敌特,-2.7777777777777777
颠沛,-1.6666666666666667
丢份,-1.6666666666666667
毒贩,-2.7777777777777777
赌棍,-2.7777777777777777
恶疾,-2.7777777777777777
恶性,-2.7777777777777777
贰臣,-1.6666666666666667
法盲,-2.7777777777777777
反侧,-1.6666666666666667
饭桶,-3.888888888888889
放刁,-2.7777777777777777
非人,-5.0
匪祸,-2.7777777777777777
分赃,-2.7777777777777777
奉迎,-1.6666666666666667
浮夸,-1.6666666666666667
负隅,-1.6666666666666667
官僚,-2.7777777777777777
惯贼,-2.7777777777777777
鬼子,-3.888888888888889
国耻,-5.0
过头,-1.6666666666666667
黑金,-1.6666666666666667
后门,-0.5555555555555556
幻灭,-2.7777777777777777
谎话,-1.6666666666666667
毁约,-0.5555555555555556
秽行,-2.7777777777777777
混账,-2.7777777777777777
挤占,-1.6666666666666667
假手,-1.6666666666666667
进犯,-1.6666666666666667
拘牵,-0.5555555555555556
懒怠,-3.888888888888889
空论,-1.6666666666666667
宽纵,-0.5555555555555556
捞摸,-2.7777777777777777
勒抑,-2.7777777777777777
冷遇,-1.6666666666666667
敛财,-2.7777777777777777
凌夷,-1.6666666666666667
流气,-2.7777777777777777
露丑,-2.7777777777777777
乱民,-1.6666666666666667
沦丧,-2.7777777777777777
落套,-0.5555555555555556
埋汰,-1.6666666666666667
毛子,-1.6666666666666667
没样儿,-0.5555555555555556
媚外,-2.7777777777777777
密谋,-2.7777777777777777
冥顽,-2.7777777777777777
磨烦,-1.6666666666666667
呶呶,-1.6666666666666667
闹架,-1.6666666666666667
闹灾,-2.7777777777777777
啮噬,-3.888888888888889
奴化,-2.7777777777777777
殴打,-3.888888888888889
攀诬,-2.7777777777777777
旁骛,-1.6666666666666667
皮囊,-1.6666666666666667
偏差,-1.6666666666666667
剽取,-2.7777777777777777
歧途,-2.7777777777777777
起哄,-2.7777777777777777
前愆,-1.6666666666666667
枪替,-2.7777777777777777
抢劫,-2.7777777777777777
窃夺,-2.7777777777777777
侵袭,-2.7777777777777777
倾轧,-2.7777777777777777
求全,-0.5555555555555556
取闹,-2.7777777777777777
缺点,-5.0
饶舌,-1.6666666666666667
认头,-1.6666666666666667
辱命,-1.6666666666666667
杀机,-2.7777777777777777
蛇头,-2.7777777777777777
生事,-1.6666666666666667
失范,-1.6666666666666667
失算,-2.7777777777777777
手黑,-3.888888888888889
受制,-2.7777777777777777
衰颓,-2.7777777777777777
搜刮,-2.7777777777777777
损伤,-2.7777777777777777
贪贿,-2.7777777777777777
逃兵,-2.7777777777777777
体罚,-2.7777777777777777
偷盗,-3.888888888888889
透顶,-3.888888888888889
蜕化,-1.6666666666666667
歪理,-2.7777777777777777
顽梗,-2.7777777777777777
妄人,-2.7777777777777777
威胁,-2.7777777777777777
违纪,-2.7777777777777777
窝主,-3.888888888888889
芜杂,-2.7777777777777777
嬉皮士,-1.6666666666666667
瞎扯,-2.7777777777777777
嫌忌,-2.7777777777777777
险阻,-2.7777777777777777
萧索,-2.7777777777777777
邪魔,-2.7777777777777777
泄密,-2.7777777777777777
凶犯,-2.7777777777777777
凶杀,-2.7777777777777777
熊包,-2.7777777777777777
虚话,-2.7777777777777777
虚妄,-2.7777777777777777
眩惑,-2.7777777777777777
压制,-3.888888888888889
掩饰,-2.7777777777777777
妖风,-2.7777777777777777
窑子,-2.7777777777777777
一窝蜂,-1.6666666666666667
疑忌,-2.7777777777777777
异端,-2.7777777777777777
阴湿,-1.6666666666666667
淫画,-2.7777777777777777
引诱,-2.7777777777777777
庸才,-2.7777777777777777
诱胁,-2.7777777777777777
迂气,-2.7777777777777777
愚民,-2.7777777777777777
郁然,-2.7777777777777777
冤孽,-2.7777777777777777
怨仇,-2.7777777777777777
怨懑,-2.7777777777777777
杂念,-1.6666666666666667
灾祸,-2.7777777777777777
偏袒,-2.7777777777777777
拨弄,-2.7777777777777777
光棍,-3.888888888888889
不足挂齿,-1.6666666666666667
懒散,-2.7777777777777777
虚伪,-5.0
遗臭万年,-5.0
坏事,-3.888888888888889
得过且过,-2.7777777777777777
赘疣,-5.0
摆布,-3.888888888888889
打掩护,-1.6666666666666667
尸位素餐,-3.888888888888889
漠不关心,-1.6666666666666667
有头无尾,-3.888888888888889
妖媚,-2.7777777777777777
碌碌,-3.888888888888889
不周,-1.6666666666666667
鼠辈,-5.0
幼稚,-3.888888888888889
杞人忧天,-1.6666666666666667
平庸,-1.6666666666666667
无所事事,-3.888888888888889
